n,txid,exito,t_verificacion_s,metadatos_ok,integridad,bloque,id_registro,sha256_recuperado
28,ced27789484d703a2b6067d4c51753a2bc82f9f30dbc931907357c3b1bd05a3f,True,0.219,True,OK,4910246,LCD-3A308BB37080,2b5c6dc202a006123eb4ce1d92e33ef0fe8fda40e1a57d92c45c8bd0ac449312
29,5f5443f0ea93f43dfbcad6d961fc68f66808893a88b8dde450b5efbba65bb0d3,True,0.192,True,OK,4910248,LCD-A1913EA53E92,fdca9706294b4374550b0f7b3bd545fd947200cf2d932bd6e8f3f6e1cf69ce06
30,3db7476c904f078759698dc88e985ea75f82c90259d945da3dd5aa3067203839,True,0.244,True,OK,4910250,LCD-11A4AA3913BE,b46ee566702d433109de0646aba9a16a70acdce6de33da53f02602d7ac015eeb
31,26b469e3991097fd7e9a60a8f84ac3a09d7a30c7101b81bf8d1dc74076b7acf4,True,0.213,True,OK,4910252,LCD-E76AE19CD692,2eecdcf5e446cea1023b3df872741da45e9ef28b43438c09284f089f4b34e021
32,138f0835e12504b43c7a3f25e9bd5c770a48f1ae3962e558a260aa232f5d4a68,True,0.228,True,OK,4910254,LCD-37FA456B1E47,4911002308ba1457be592d122e01132dbf293f66e391aab5f84d8757a830b770
33,01dc17b39b45bde637df14609e1db09f60e4aa952933bf4c2d4403e87723061c,True,0.229,True,OK,4910257,LCD-1F3F95B0A2AA,1912010e338d280ec856e8f6565377c5c358da483326a642e007af6f834582fb
34,47342c92b7d65295ddd0d7fa161c0d52c3dc536653dc35a97119382750cc05ed,True,0.23,True,OK,4910258,LCD-5A07A71DA41C,ef7a6d7fd513ffe4389b2dce83d8872a0bc75646eda9c4260e53574cf029f809
35,7fcc0cc91e75071e832022bec75c66afea54b65c8633a7bf5676027e6d11c95d,True,0.209,True,OK,4910259,LCD-97B2189B2584,65a90999f0f93af655549b7a67aaad7b4a9b8f0d2d77d8e02211a7b4c715a7dc
36,df420bec43c8536efa19585d737fa51694a706a8e480c85a05378a7954e5bf73,True,0.238,True,OK,4910260,LCD-1D4EA60107E0,d07612ec8d208527873cfc2649ec6f90c6e28581a4134900aea170273f3afb8d
37,2e01d86fde01c53198ec8c6adcf20b117d50730484e74e5e88ad41807a34d2fd,True,0.185,True,OK,4910263,LCD-AD1961EC0EB4,c786ec7bd7186886cf41dbb9a2d4e4cf8a8f0a34e67b8322af0835b7c6fe0c5b
38,934dcfa26469b49f0ceafe7f1f22dc8e2ad3451cf42d2ef0c83facae5c4192ad,True,0.224,True,OK,4910270,LCD-70EADEDAD777,ca312b368d46f33f798c5e2d7d25d85ff463a002b6da1681e4b086b4296a124f
39,4c72e86a26b482849f82890e91422bd403b07d1b861a5becd11d031cbc95182f,True,0.214,True,OK,4910274,LCD-DB0C11697182,104a447085ea140b21e69fab140695131f637df616fd214f890fa5041af2c691
40,cb4fbadd26ff7374ecc71702e796040bd014473d80de4177d31d767dc3d6d1b3,True,0.219,True,OK,4910276,LCD-82052E2877AC,e00dba7dc6fb2e8c8e70355c70f5837f24de7866c7111eda7837aca052409dc7
